account_name,total_fees,healthscore
Ada County Sheriff's Office,10781,100.00%
Aims Community College,28325,50.00%
Albany College of Pharmacy and Health Sciences,7350,100.00%
Albany State University,28624,70.00%
Alcorn State University,16500,88.75%
Allen County Public Library,,60.00%
Alvin Community College,19982,100.00%
American Museum of Natural History,16160,100.00%
Angelo State University,17881,50.00%
Anne Arundel Community College,36347,-16.67%
Appalachian State University,58353,16.00%
Arkansas State University - Mountain Home,11300,70.00%
Arkansas State University-Beebe,11500,65.00%
Armstrong Atlantic State University,45101,100.00%
Asheville Buncombe Technical Community College,18566,80.00%
Athens State University,9270,70.00%
Atlanta Metropolitan State College,14609,53.33%
Auburn University,139450,40.00%
Auburn University - Montgomery,32651,92.00%
Babson College,19663,75.00%
Ball State University,,57.41%
Barnard College,16752,50.00%
Bay De Noc Community College,7365,100.00%
Baylor University,35560,50.00%
Beaufort County Community College,14350,70.00%
Belmont University,38306,32.00%
Bentley University,32445,0.00%
Blackhawk Technical College,12030,75.00%
Blinn College,54774,75.00%
Bowdoin College,84115,46.25%
Bowie State University,17510,50.00%
Brazosport College,17059,93.75%
Bridgewater College,,100.00%
Bridgewater State University,20529,25.00%
Brigham Young University,61647,100.00%
Brigham Young University - Idaho,22320,88.00%
British Columbia Institute of Technology,20257,66.67%
Brookdale Community College,20155,50.00%
Brown University,36822,6.67%
Bryant University,17229,100.00%
Butler Community College,,100.00%
Cabrini College,9502,60.00%
Cal Poly Corporation,8477,75.00%
California Baptist University,9734,75.00%
California Institute of Technology,32382,45.71%
California Lutheran University,19045,80.00%
California Polytechnic State University - San Luis Obispo,31457,86.67%
California State University - Channel Islands,10815,50.00%
California State University - Channel Islands Academic Affairs,11134,100.00%
California State University-Chico,26491,72.00%
California U of Pennsylvania,22002,100.00%
Camden County College,15213,75.00%
Cape Fear Community College,22310,50.00%
Capilano University,16964,50.00%
Capital Metro,6489,63.33%
Carleton College,20561,100.00%
Carroll Community College,11687,75.00%
Central Carolina Community College,33246,74.67%
Central Community College,16895,75.00%
Central Michigan University,34515,62.50%
Central New Mexico Community College District,27985,25.00%
Central Ohio Technical College,13843,85.00%
Central Oregon Community College District,16820,80.00%
Central State University,18088,75.00%
Central Texas College,,100.00%
Central Washington University,42681,75.00%
Central Wyoming College,9438,0.00%
Centralia College,,75.00%
Cerritos Community College District,,100.00%
Chabot-Las Positas Community College District,23711,50.00%
Chapman University,20146,75.00%
Charles R. Drew University,12628,93.33%
Cheyney University of Pennsylvania,8057,100.00%
Chicago State University,28510,50.00%
Chippewa Valley Technical College,15903,40.00%
Christopher Newport University,42164,85.00%
Citrus Community College District,22928,100.00%
City College of San Francisco,34926,100.00%
City of Amarillo,18237,73.33%
City of Austin,42743,12.00%
City of Bryan,28920,56.67%
City of Chesapeake,30142,66.67%
"City of Columbia, MO",18117,30.00%
City of Duncanville,5294,100.00%
City of Elmhurst,7725,100.00%
"City of Kelowna, BC",35020,36.67%
"City of Newport News, VA",28004,60.00%
City of Odessa,10352,80.00%
City of Philadelphia (Insight),79800,48.33%
City of San Marcos,13996,100.00%
City of Tucson,26264,37.50%
City of Victoria,8310,75.00%
City of Virginia Beach,46667,100.00%
City of Wichita Falls,25366,98.00%
Claremont University Consortium,11212,100.00%
Clarion University,18540,60.00%
Clark Atlanta University,18250,50.00%
Clarkson University,19658,80.00%
Clatsop Community College,7840,100.00%
Clayton State University,24688,75.00%
Cleveland State University,68248,51.00%
Coastal Carolina University,37997,100.00%
"Cobb County, GA",31264,75.00%
Colburn School,15171,75.00%
Cold Spring Harbor Laboratories,18035,100.00%
Colgate University,75934,100.00%
College of Charleston,57016,25.00%
College of Coastal Georgia,10842,60.00%
College of Lake County,31719,62.50%
College of Southern Nevada,56721,40.00%
College of St. Scholastica,28191,75.00%
College of the Mainland,39063,100.00%
College of the Marshall Islands,7081,96.00%
College of the Redwood,28181,50.00%
College of William and Mary,47147,25.00%
Colorado College,18395,74.00%
Colorado State University,145801,10.00%
Colorado State University System,,100.00%
Columbia University,66609,65.00%
Columbia University - Faculty,23978,0.00%
Columbus State University,20393,75.00%
Commonwealth of Virginia,71900,40.00%
Community College of Allegheny County,27111,40.00%
Community College of Philadelphia,28115,25.00%
Community College of Rhode Island,43851,75.00%
Concord University,12875,97.33%
Concordia College at Moorhead,20074,75.00%
Contra Costa Community College District,30244,46.00%
Copiah-Lincoln Community College,9548,100.00%
Coppin State University,18000,50.00%
County College of Morris,15698,86.67%
"County of Ada, Idaho",16377,100.00%
Creighton University,34293,75.00%
Cuesta College,18313,100.00%
Cuyahoga Community College,49514,54.00%
Dallas County Community College District,44557,46.00%
Dalton State College,20893,75.00%
Danville Area Community College,,93.33%
Dartmouth College,46414,61.37%
Davenport University,53298,100.00%
Davidson College,37758,80.00%
Del Mar College,25700,66.00%
Delaware Technical Community College,14719,75.00%
Delgado Community College,34947,50.00%
Delta College,14193,88.75%
Delta State University,13761,90.00%
Denison University,15378,50.00%
DePaul University,55644,75.00%
Des Moines Area Community College,21653,76.67%
Desert Research Institute,10800,75.00%
Dickinson College,20528,40.00%
"Dominican University, IL",10578,72.00%
Douglas College,18035,63.33%
Drexel University,33839,50.00%
Durham Technical Community College,,75.00%
East Carolina University,109164,50.00%
East Georgia College,9270,92.00%
East Stroudsburg University of Pennsylvania,22004,100.00%
Eastern Kentucky University,37029,100.00%
Eastern Oregon University,14317,100.00%
Eastern Washington University,36809,56.67%
Edinboro University,19086,50.00%
El Paso Community College,67372,100.00%
Elgin Community College,28654,100.00%
Elizabeth City State University,37779,100.00%
Elmhurst College,21185,75.00%
Elon University,18000,59.27%
Emerson College,30663,12.50%
Essex County College,,100.00%
Everett Community College,17767,100.00%
Fairleigh Dickinson University,22599,90.00%
Fairmont State University,52645,-25.00%
Fanshawe College,17000,50.00%
Fayetteville State University,45831,75.00%
Fayetteville Technical Community College,20599,75.00%
Ferris State University,30156,12.50%
Flagler College,,75.00%
Florida Atlantic University,44971,50.00%
Florida Gulf Coast University,25180,50.00%
Florida State College at Jacksonville,28464,100.00%
Foothill DeAnza Office of Financial Aid,6860,100.00%
